ls_xy,ls_z,os_xyz,ls_t,os_t
0.015,0.25,25,0.02,5
0.015,0.25,25,0.02,25
0.015,0.25,25,0.02,75
0.015,0.25,25,0.1,5
0.015,0.25,25,0.1,25
0.015,0.25,25,0.1,75
0.015,0.25,25,0.5,5
0.015,0.25,25,0.5,25
0.015,0.25,25,0.5,75
0.015,0.25,25,5.0,5
0.015,0.25,25,5.0,25
0.015,0.25,25,5.0,75
0.015,0.25,25,50.0,5
0.015,0.25,25,50.0,25
0.015,0.25,25,50.0,75
0.015,0.25,75,0.02,5
0.015,0.25,75,0.02,25
0.015,0.25,75,0.02,75
0.015,0.25,75,0.1,5
0.015,0.25,75,0.1,25
0.015,0.25,75,0.1,75
0.015,0.25,75,0.5,5
0.015,0.25,75,0.5,25
0.015,0.25,75,0.5,75
0.015,0.25,75,5.0,5
0.015,0.25,75,5.0,25
0.015,0.25,75,5.0,75
0.015,0.25,75,50.0,5
0.015,0.25,75,50.0,25
0.015,0.25,75,50.0,75
0.015,0.25,150,0.02,5
0.015,0.25,150,0.02,25
0.015,0.25,150,0.02,75
0.015,0.25,150,0.1,5
0.015,0.25,150,0.1,25
0.015,0.25,150,0.1,75
0.015,0.25,150,0.5,5
0.015,0.25,150,0.5,25
0.015,0.25,150,0.5,75
0.015,0.25,150,5.0,5
0.015,0.25,150,5.0,25
0.015,0.25,150,5.0,75
0.015,0.25,150,50.0,5
0.015,0.25,150,50.0,25
0.015,0.25,150,50.0,75
0.015,0.5,25,0.02,5
0.015,0.5,25,0.02,25
0.015,0.5,25,0.02,75
0.015,0.5,25,0.1,5
0.015,0.5,25,0.1,25
0.015,0.5,25,0.1,75
0.015,0.5,25,0.5,5
0.015,0.5,25,0.5,25
0.015,0.5,25,0.5,75
0.015,0.5,25,5.0,5
0.015,0.5,25,5.0,25
0.015,0.5,25,5.0,75
0.015,0.5,25,50.0,5
0.015,0.5,25,50.0,25
0.015,0.5,25,50.0,75
0.015,0.5,75,0.02,5
0.015,0.5,75,0.02,25
0.015,0.5,75,0.02,75
0.015,0.5,75,0.1,5
0.015,0.5,75,0.1,25
